GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
quickcheck,com.marlo.quickcheck,WordCountUtils,0,27,0,2,0,6,0,5,0,4
quickcheck,com.marlo.quickcheck,ExampleApp,0,18,0,2,0,5,0,2,0,1
